circuit name,latitude,longitude,fastest lap speed
Autódromo José Carlos Pace,-23.7036,-46.6997,209.042
Autódromo José Carlos Pace,-23.7036,-46.6997,209.155
Autódromo José Carlos Pace,-23.7036,-46.6997,206.741
Autódromo José Carlos Pace,-23.7036,-46.6997,207.796
Autódromo José Carlos Pace,-23.7036,-46.6997,208.570
Autódromo José Carlos Pace,-23.7036,-46.6997,207.014
Autódromo José Carlos Pace,-23.7036,-46.6997,207.498
Autódromo José Carlos Pace,-23.7036,-46.6997,206.967
Autódromo José Carlos Pace,-23.7036,-46.6997,205.696
Autódromo José Carlos Pace,-23.7036,-46.6997,204.721
Autódromo José Carlos Pace,-23.7036,-46.6997,204.473
Autódromo José Carlos Pace,-23.7036,-46.6997,206.249
Albert Park Grand Prix Circuit,-37.8497,144.968,223.978
Albert Park Grand Prix Circuit,-37.8497,144.968,221.178
Albert Park Grand Prix Circuit,-37.8497,144.968,221.083
Albert Park Grand Prix Circuit,-37.8497,144.968,220.137
Albert Park Grand Prix Circuit,-37.8497,144.968,219.707
Albert Park Grand Prix Circuit,-37.8497,144.968,219.323
Albert Park Grand Prix Circuit,-37.8497,144.968,220.140
Albert Park Grand Prix Circuit,-37.8497,144.968,217.444
Albert Park Grand Prix Circuit,-37.8497,144.968,216.857
Albert Park Grand Prix Circuit,-37.8497,144.968,217.951
Albert Park Grand Prix Circuit,-37.8497,144.968,216.699
Albert Park Grand Prix Circuit,-37.8497,144.968,215.746
Albert Park Grand Prix Circuit,-37.8497,144.968,218.178
Albert Park Grand Prix Circuit,-37.8497,144.968,216.247
Albert Park Grand Prix Circuit,-37.8497,144.968,215.991
Albert Park Grand Prix Circuit,-37.8497,144.968,215.742
Albert Park Grand Prix Circuit,-37.8497,144.968,215.260
Albert Park Grand Prix Circuit,-37.8497,144.968,216.196
Albert Park Grand Prix Circuit,-37.8497,144.968,217.668
Albert Park Grand Prix Circuit,-37.8497,144.968,220.341
Albert Park Grand Prix Circuit,-37.8497,144.968,214.616
Albert Park Grand Prix Circuit,-37.8497,144.968,210.022
Sepang International Circuit,2.76083,101.738,206.014
Sepang International Circuit,2.76083,101.738,206.355
Sepang International Circuit,2.76083,101.738,205.237
Sepang International Circuit,2.76083,101.738,204.838
Sepang International Circuit,2.76083,101.738,205.298
Sepang International Circuit,2.76083,101.738,203.872
Sepang International Circuit,2.76083,101.738,203.587
Sepang International Circuit,2.76083,101.738,204.015
Sepang International Circuit,2.76083,101.738,203.903
Sepang International Circuit,2.76083,101.738,202.504
Sepang International Circuit,2.76083,101.738,202.451
Sepang International Circuit,2.76083,101.738,202.262
Sepang International Circuit,2.76083,101.738,202.595
Sepang International Circuit,2.76083,101.738,201.364
Sepang International Circuit,2.76083,101.738,201.070
Sepang International Circuit,2.76083,101.738,200.417
Sepang International Circuit,2.76083,101.738,202.695
Sepang International Circuit,2.76083,101.738,201.820
Sepang International Circuit,2.76083,101.738,204.237
Sepang International Circuit,2.76083,101.738,203.416
Sepang International Circuit,2.76083,101.738,196.608
Bahrain International Circuit,26.0325,50.5106,207.120
Bahrain International Circuit,26.0325,50.5106,206.674
Bahrain International Circuit,26.0325,50.5106,206.483
Bahrain International Circuit,26.0325,50.5106,206.236
Bahrain International Circuit,26.0325,50.5106,206.346
Bahrain International Circuit,26.0325,50.5106,205.477
Bahrain International Circuit,26.0325,50.5106,204.756
Bahrain International Circuit,26.0325,50.5106,204.655
Bahrain International Circuit,26.0325,50.5106,204.065
Bahrain International Circuit,26.0325,50.5106,203.893
Bahrain International Circuit,26.0325,50.5106,202.966
Bahrain International Circuit,26.0325,50.5106,203.278
Bahrain International Circuit,26.0325,50.5106,203.284
Bahrain International Circuit,26.0325,50.5106,200.477
Bahrain International Circuit,26.0325,50.5106,201.330
Bahrain International Circuit,26.0325,50.5106,202.715
Bahrain International Circuit,26.0325,50.5106,203.575
Bahrain International Circuit,26.0325,50.5106,204.260
Bahrain International Circuit,26.0325,50.5106,202.193
Bahrain International Circuit,26.0325,50.5106,203.537
Circuit de Barcelona-Catalunya,41.57,2.26111,202.685
Circuit de Barcelona-Catalunya,41.57,2.26111,202.205
Circuit de Barcelona-Catalunya,41.57,2.26111,201.986
Circuit de Barcelona-Catalunya,41.57,2.26111,201.590
Circuit de Barcelona-Catalunya,41.57,2.26111,200.636
Circuit de Barcelona-Catalunya,41.57,2.26111,200.231
Circuit de Barcelona-Catalunya,41.57,2.26111,201.952
Circuit de Barcelona-Catalunya,41.57,2.26111,199.239
Circuit de Barcelona-Catalunya,41.57,2.26111,200.550
Circuit de Barcelona-Catalunya,41.57,2.26111,198.820
Circuit de Barcelona-Catalunya,41.57,2.26111,198.811
Circuit de Barcelona-Catalunya,41.57,2.26111,199.059
Circuit de Barcelona-Catalunya,41.57,2.26111,196.710
Circuit de Barcelona-Catalunya,41.57,2.26111,196.551
Circuit de Barcelona-Catalunya,41.57,2.26111,200.735
Circuit de Barcelona-Catalunya,41.57,2.26111,199.492
Circuit de Barcelona-Catalunya,41.57,2.26111,196.673
Circuit de Barcelona-Catalunya,41.57,2.26111,194.322
Circuit de Barcelona-Catalunya,41.57,2.26111,200.754
Circuit de Barcelona-Catalunya,41.57,2.26111,194.647
Circuit de Barcelona-Catalunya,41.57,2.26111,194.131
Circuit de Monaco,43.7347,7.42056,159.715
Circuit de Monaco,43.7347,7.42056,159.528
Circuit de Monaco,43.7347,7.42056,157.830
Circuit de Monaco,43.7347,7.42056,157.683
Circuit de Monaco,43.7347,7.42056,158.198
Circuit de Monaco,43.7347,7.42056,156.072
Circuit de Monaco,43.7347,7.42056,156.852
Circuit de Monaco,43.7347,7.42056,156.987
Circuit de Monaco,43.7347,7.42056,156.426
Circuit de Monaco,43.7347,7.42056,155.993
Circuit de Monaco,43.7347,7.42056,156.558
Circuit de Monaco,43.7347,7.42056,156.174
Circuit de Monaco,43.7347,7.42056,155.953
Circuit de Monaco,43.7347,7.42056,156.591
Circuit de Monaco,43.7347,7.42056,155.158
Circuit de Monaco,43.7347,7.42056,155.688
Circuit de Monaco,43.7347,7.42056,155.785
Circuit de Monaco,43.7347,7.42056,155.704
Circuit de Monaco,43.7347,7.42056,154.770
Circuit de Monaco,43.7347,7.42056,154.792
Circuit de Monaco,43.7347,7.42056,152.206
Circuit Gilles Villeneuve,45.5,-73.5228,205.239
Circuit Gilles Villeneuve,45.5,-73.5228,204.699
Circuit Gilles Villeneuve,45.5,-73.5228,201.413
Circuit Gilles Villeneuve,45.5,-73.5228,200.331
Circuit Gilles Villeneuve,45.5,-73.5228,204.259
Circuit Gilles Villeneuve,45.5,-73.5228,201.186
Circuit Gilles Villeneuve,45.5,-73.5228,205.580
Circuit Gilles Villeneuve,45.5,-73.5228,201.509
Circuit Gilles Villeneuve,45.5,-73.5228,202.267
Circuit Gilles Villeneuve,45.5,-73.5228,203.478
Circuit Gilles Villeneuve,45.5,-73.5228,199.284
Circuit Gilles Villeneuve,45.5,-73.5228,199.885
Circuit Gilles Villeneuve,45.5,-73.5228,198.497
Circuit Gilles Villeneuve,45.5,-73.5228,197.790
Circuit Gilles Villeneuve,45.5,-73.5228,198.092
Circuit Gilles Villeneuve,45.5,-73.5228,198.776
Circuit Gilles Villeneuve,45.5,-73.5228,202.499
Circuit Gilles Villeneuve,45.5,-73.5228,197.598
Circuit Gilles Villeneuve,45.5,-73.5228,196.019
Circuit Gilles Villeneuve,45.5,-73.5228,204.291
Circuit Gilles Villeneuve,45.5,-73.5228,202.808
Indianapolis Motor Speedway,39.795,-86.2347,206.101
Indianapolis Motor Speedway,39.795,-86.2347,206.003
Indianapolis Motor Speedway,39.795,-86.2347,205.658
Indianapolis Motor Speedway,39.795,-86.2347,206.397
Indianapolis Motor Speedway,39.795,-86.2347,203.940
Indianapolis Motor Speedway,39.795,-86.2347,203.891
Indianapolis Motor Speedway,39.795,-86.2347,203.924
Indianapolis Motor Speedway,39.795,-86.2347,204.316
Indianapolis Motor Speedway,39.795,-86.2347,203.910
Indianapolis Motor Speedway,39.795,-86.2347,202.604
Indianapolis Motor Speedway,39.795,-86.2347,203.753
Indianapolis Motor Speedway,39.795,-86.2347,202.015
Indianapolis Motor Speedway,39.795,-86.2347,200.969
Indianapolis Motor Speedway,39.795,-86.2347,201.597
Indianapolis Motor Speedway,39.795,-86.2347,198.824
Indianapolis Motor Speedway,39.795,-86.2347,203.753
Indianapolis Motor Speedway,39.795,-86.2347,200.079
Indianapolis Motor Speedway,39.795,-86.2347,205.562
Indianapolis Motor Speedway,39.795,-86.2347,196.807
Circuit de Nevers Magny-Cours,46.8642,3.16361,208.374
Circuit de Nevers Magny-Cours,46.8642,3.16361,208.670
Circuit de Nevers Magny-Cours,46.8642,3.16361,207.340
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.819
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.563
